timestamp_iso,unix_ts,cpu_pct,mem_mb,pids,db_mem_mb
2026-05-26T17:24:31.200800,1779837871.201,0.010,122.800,15,66.900
2026-05-26T17:24:39.267939,1779837879.268,101.180,172.200,15,97.740
2026-05-26T17:24:47.320388,1779837887.320,84.040,265.300,15,129.800
2026-05-26T17:24:55.364450,1779837895.364,89.610,263.800,15,130.000
2026-05-26T17:25:04.184243,1779837904.184,79.510,265.500,15,136.800
2026-05-26T17:25:13.181788,1779837913.182,80.980,272.400,15,130.200
2026-05-26T17:25:22.180841,1779837922.181,78.940,269.700,15,136.900
2026-05-26T17:25:31.170806,1779837931.171,80.780,272.300,15,151.500
2026-05-26T17:25:39.214474,1779837939.214,78.760,271.000,15,154.900
2026-05-26T17:25:47.267540,1779837947.268,90.990,274.300,15,156.100
2026-05-26T17:25:55.310181,1779837955.310,81.360,278.600,15,147.500
2026-05-26T17:26:04.252323,1779837964.252,0.010,280.100,15,149.700
2026-05-26T17:26:13.276119,1779837973.276,0.540,280.100,15,149.800
2026-05-26T17:26:22.263714,1779837982.264,0.010,280.100,15,149.500
2026-05-26T17:26:31.256838,1779837991.257,0.010,280.000,15,119.000
2026-05-26T17:26:39.351681,1779837999.352,0.010,280.000,15,107.900
2026-05-26T17:26:47.448072,1779838007.448,0.010,280.000,15,108.000
2026-05-26T17:26:55.531574,1779838015.532,0.010,280.000,15,108.200
2026-05-26T17:27:04.277402,1779838024.277,0.010,280.000,15,108.000
2026-05-26T17:27:13.285515,1779838033.286,1.040,281.500,15,108.500
2026-05-26T17:27:22.260175,1779838042.260,0.030,280.100,15,108.000
2026-05-26T17:27:31.257497,1779838051.257,0.010,280.100,15,108.000
2026-05-26T17:27:39.341428,1779838059.341,0.050,138.100,15,108.000
2026-05-26T17:27:47.433552,1779838067.434,0.050,138.200,15,108.000
2026-05-26T17:27:55.519355,1779838075.519,0.030,138.900,15,108.200
2026-05-26T17:28:04.296934,1779838084.297,0.010,139.100,15,108.000
2026-05-26T17:28:13.307649,1779838093.308,0.710,139.500,15,108.000
2026-05-26T17:28:22.301568,1779838102.302,0.030,139.300,15,108.000
2026-05-26T17:28:31.291386,1779838111.291,0.020,140.700,15,108.000
2026-05-26T17:28:39.384171,1779838119.384,0.020,140.900,15,108.000
2026-05-26T17:28:47.484154,1779838127.484,0.150,140.900,15,108.000
2026-05-26T17:28:55.562808,1779838135.563,0.010,140.900,15,108.300
2026-05-26T17:29:04.306338,1779838144.306,0.010,140.900,15,108.000
