timestamp_iso,unix_ts,cpu_pct,mem_mb,pids,db_mem_mb
2026-05-28T18:44:30.759493,1780019070.759,0.185,1.117,5,0.000
2026-05-28T18:44:32.849676,1780019072.850,0.000,1.117,5,0.000
2026-05-28T18:44:34.907631,1780019074.908,1.071,10.961,7,0.000
2026-05-28T18:44:36.964740,1780019076.965,14.477,30.469,9,0.000
2026-05-28T18:44:39.023811,1780019079.024,62.558,62.156,12,0.000
2026-05-28T18:44:41.075229,1780019081.075,63.111,90.645,12,0.000
2026-05-28T18:44:43.131338,1780019083.131,63.109,123.191,12,0.000
2026-05-28T18:44:45.188505,1780019085.189,58.872,151.156,12,0.000
2026-05-28T18:44:47.243041,1780019087.243,62.980,180.004,12,0.000
2026-05-28T18:44:49.293149,1780019089.293,62.713,216.074,12,0.000
2026-05-28T18:44:51.343926,1780019091.344,63.700,238.074,12,0.000
2026-05-28T18:44:53.396172,1780019093.396,64.389,275.621,12,0.000
2026-05-28T18:44:55.449127,1780019095.449,65.631,313.633,12,0.000
2026-05-28T18:44:57.510240,1780019097.510,61.952,336.488,12,0.000
2026-05-28T18:44:59.570991,1780019099.571,60.177,357.387,12,0.000
2026-05-28T18:45:01.629670,1780019101.630,59.415,394.730,12,0.000
2026-05-28T18:45:03.688660,1780019103.689,45.939,413.727,12,0.000
2026-05-28T18:45:05.740582,1780019105.741,50.055,425.391,12,0.000
2026-05-28T18:45:07.795317,1780019107.795,61.122,454.613,13,0.000
2026-05-28T18:45:09.849062,1780019109.849,58.222,431.766,13,0.000
2026-05-28T18:45:11.903827,1780019111.904,59.489,436.250,13,0.000
2026-05-28T18:45:13.958420,1780019113.958,57.109,430.414,13,0.000
2026-05-28T18:45:16.039587,1780019116.040,27.849,429.406,13,0.000
2026-05-28T18:45:18.127454,1780019118.127,0.000,429.102,13,0.000
2026-05-28T18:45:20.217645,1780019120.218,0.000,429.102,13,0.000
2026-05-28T18:45:22.307666,1780019122.308,0.000,428.922,13,0.000
2026-05-28T18:45:24.392797,1780019124.393,0.000,428.922,13,0.000
2026-05-28T18:45:26.484279,1780019126.484,0.000,428.922,13,0.000
2026-05-28T18:45:28.569142,1780019128.569,0.000,428.922,13,0.000
2026-05-28T18:45:30.651426,1780019130.651,0.000,428.922,13,0.000
2026-05-28T18:45:32.742437,1780019132.742,0.000,428.922,13,0.000
2026-05-28T18:45:34.828303,1780019134.828,0.000,428.922,13,0.000
2026-05-28T18:45:36.912047,1780019136.912,0.000,428.922,13,0.000
2026-05-28T18:45:39.013973,1780019139.014,0.000,428.922,13,0.000
2026-05-28T18:45:41.106592,1780019141.107,0.000,428.922,13,0.000
2026-05-28T18:45:43.190425,1780019143.190,0.000,428.922,13,0.000
2026-05-28T18:45:45.273951,1780019145.274,0.000,429.008,13,0.000
2026-05-28T18:45:47.370018,1780019147.370,0.000,428.922,13,0.000
2026-05-28T18:45:49.465999,1780019149.466,0.000,428.922,13,0.000
2026-05-28T18:45:51.556500,1780019151.556,0.000,428.922,13,0.000
2026-05-28T18:45:53.643834,1780019153.644,0.000,428.922,13,0.000
2026-05-28T18:45:55.729146,1780019155.729,0.000,428.922,13,0.000
2026-05-28T18:45:57.814892,1780019157.815,0.000,428.922,13,0.000
2026-05-28T18:45:59.913872,1780019159.914,0.000,428.922,13,0.000
2026-05-28T18:46:02.003826,1780019162.004,0.000,428.922,13,0.000
2026-05-28T18:46:04.101082,1780019164.101,0.000,428.922,13,0.000
2026-05-28T18:46:06.197355,1780019166.197,0.000,428.922,13,0.000
2026-05-28T18:46:08.281846,1780019168.282,0.000,428.922,13,0.000
2026-05-28T18:46:10.372756,1780019170.373,0.000,428.922,13,0.000
