timestamp_iso,unix_ts,cpu_pct,mem_mb,pids
2026-05-26T15:45:22.436003,1779831922.436,18.490,248.200,28
2026-05-26T15:45:29.390438,1779831929.390,14.350,362.000,30
2026-05-26T15:45:36.428809,1779831936.429,19.620,248.500,28
2026-05-26T15:45:42.477116,1779831942.477,22.690,363.200,30
2026-05-26T15:45:49.521655,1779831949.522,22.160,422.400,32
2026-05-26T15:45:55.559930,1779831955.560,23.650,471.700,32
2026-05-26T15:46:02.419582,1779831962.420,25.550,476.100,33
2026-05-26T15:46:09.460381,1779831969.460,24.410,478.200,32
2026-05-26T15:46:15.493285,1779831975.493,25.140,478.500,32
2026-05-26T15:46:21.521409,1779831981.521,43.840,482.900,32
2026-05-26T15:46:27.557772,1779831987.558,91.230,482.900,32
2026-05-26T15:46:33.588129,1779831993.588,22.930,482.800,32
2026-05-26T15:46:40.553127,1779832000.553,23.800,484.900,32
2026-05-26T15:46:46.586820,1779832006.587,24.840,485.600,32
2026-05-26T15:46:52.617966,1779832012.618,22.950,485.400,32
2026-05-26T15:46:59.649590,1779832019.650,71.880,485.100,32
2026-05-26T15:47:05.675625,1779832025.676,24.260,485.400,32
2026-05-26T15:47:12.485219,1779832032.485,23.850,485.700,32
2026-05-26T15:47:19.399709,1779832039.400,22.960,485.400,32
2026-05-26T15:47:25.436054,1779832045.436,23.510,486.000,32
2026-05-26T15:47:32.411890,1779832052.412,23.640,488.000,32
2026-05-26T15:47:39.419101,1779832059.419,22.530,487.300,32
2026-05-26T15:47:45.459332,1779832065.459,31.120,487.800,32
2026-05-26T15:47:52.413082,1779832072.413,23.660,487.600,32
2026-05-26T15:47:59.403949,1779832079.404,23.950,487.400,32
2026-05-26T15:48:05.445324,1779832085.445,32.410,488.000,32
2026-05-26T15:48:12.435536,1779832092.436,24.190,488.500,32
2026-05-26T15:48:19.405107,1779832099.405,65.550,543.000,36
2026-05-26T15:48:25.431851,1779832105.432,29.490,490.500,32
2026-05-26T15:48:32.452016,1779832112.452,41.060,543.400,34
2026-05-26T15:48:39.423597,1779832119.424,35.670,529.600,33
2026-05-26T15:48:45.460916,1779832125.461,25.090,490.000,32
2026-05-26T15:48:52.422831,1779832132.423,46.090,558.000,36
2026-05-26T15:48:59.417353,1779832139.417,73.490,490.900,32
2026-05-26T15:49:05.482546,1779832145.483,66.350,543.400,35
2026-05-26T15:49:12.444551,1779832152.445,28.620,506.200,32
2026-05-26T15:49:19.417892,1779832159.418,73.050,491.200,32
2026-05-26T15:49:25.446639,1779832165.447,24.560,492.100,32
2026-05-26T15:49:32.427882,1779832172.428,76.950,491.300,32
2026-05-26T15:49:38.492611,1779832178.493,22.180,492.500,33
2026-05-26T15:49:44.529809,1779832184.530,28.480,492.000,32
2026-05-26T15:49:51.571311,1779832191.571,23.520,492.000,32
2026-05-26T15:49:57.603259,1779832197.603,23.790,492.200,32
2026-05-26T15:50:03.644172,1779832203.644,77.780,491.900,32
2026-05-26T15:50:10.672160,1779832210.672,64.810,492.500,32
2026-05-26T15:50:16.711654,1779832216.712,60.630,615.000,65
2026-05-26T15:50:22.751510,1779832222.752,44.980,545.200,34
2026-05-26T15:50:29.468460,1779832229.468,23.970,492.300,32
