timestamp_iso,unix_ts,cpu_pct,mem_mb,pids,db_mem_mb
2026-05-26T17:55:48.269420,1779839748.269,0.550,444.500,76,144.100
2026-05-26T17:55:56.335418,1779839756.335,0.770,452.500,76,144.100
2026-05-26T17:56:04.393106,1779839764.393,20.520,494.700,76,144.100
2026-05-26T17:56:12.805073,1779839772.805,0.800,538.900,76,144.300
2026-05-26T17:56:21.774887,1779839781.775,25.330,744.700,75,144.400
2026-05-26T17:56:30.336621,1779839790.337,218.680,801.300,77,148.300
2026-05-26T17:56:39.286575,1779839799.287,190.670,902.800,78,154.700
2026-05-26T17:56:48.270248,1779839808.270,152.530,2265.088,79,165.400
2026-05-26T17:56:56.312377,1779839816.312,140.110,2281.472,78,171.900
2026-05-26T17:57:04.355519,1779839824.356,69.180,2247.680,78,178.700
2026-05-26T17:57:12.786271,1779839832.786,67.240,2231.296,78,184.400
2026-05-26T17:57:21.785503,1779839841.786,76.900,2254.848,78,189.000
2026-05-26T17:57:30.236034,1779839850.236,40.490,2253.824,77,193.900
2026-05-26T17:57:39.244972,1779839859.245,46.890,2291.712,75,195.500
2026-05-26T17:57:48.250531,1779839868.251,81.320,2254.848,75,196.800
2026-05-26T17:57:56.287991,1779839876.288,37.640,1716.224,75,198.100
2026-05-26T17:58:04.338525,1779839884.339,33.790,2306.048,73,199.600
2026-05-26T17:58:12.802920,1779839892.803,39.500,2269.184,73,200.900
2026-05-26T17:58:21.802064,1779839901.802,29.960,1899.520,74,202.600
2026-05-26T17:58:30.259150,1779839910.259,32.110,1357.824,73,203.600
2026-05-26T17:58:38.354233,1779839918.354,185.100,2387.968,80,204.900
2026-05-26T17:58:46.398376,1779839926.398,46.640,1868.800,78,206.100
2026-05-26T17:58:54.435197,1779839934.435,37.450,2427.904,79,206.800
2026-05-26T17:59:02.820789,1779839942.821,35.210,1698.816,77,208.100
2026-05-26T17:59:11.791535,1779839951.792,30.970,2331.648,77,208.600
2026-05-26T17:59:20.240573,1779839960.241,25.580,1873.920,78,209.200
2026-05-26T17:59:29.251197,1779839969.251,25.300,1165.312,77,210.000
2026-05-26T17:59:38.251766,1779839978.252,42.870,1965.056,75,211.100
2026-05-26T17:59:46.299188,1779839986.299,24.920,2321.408,75,212.300
2026-05-26T17:59:54.333472,1779839994.333,27.610,1822.720,75,213.100
2026-05-26T18:00:02.802647,1779840002.803,27.800,2325.504,74,214.100
2026-05-26T18:00:11.802221,1779840011.802,24.740,1747.968,73,215.100
2026-05-26T18:00:20.269073,1779840020.269,22.490,2334.720,74,216.200
2026-05-26T18:00:29.267171,1779840029.267,22.350,1669.120,73,217.200
2026-05-26T18:00:38.276698,1779840038.277,233.860,2337.792,79,218.000
2026-05-26T18:00:46.325740,1779840046.326,43.030,2202.624,77,218.300
2026-05-26T18:00:54.375729,1779840054.376,20.690,1243.136,78,219.300
2026-05-26T18:01:02.816958,1779840062.817,20.970,1867.776,77,220.000
2026-05-26T18:01:11.815606,1779840071.816,20.550,2349.056,77,220.200
2026-05-26T18:01:20.281315,1779840080.281,23.240,1589.248,78,220.500
2026-05-26T18:01:29.308205,1779840089.308,25.790,2201.600,78,221.000
2026-05-26T18:01:38.304664,1779840098.305,22.660,1260.544,77,221.500
2026-05-26T18:01:46.345721,1779840106.346,28.660,1766.400,76,222.100
2026-05-26T18:01:54.385791,1779840114.386,20.140,2286.592,76,222.700
2026-05-26T18:02:02.838008,1779840122.838,19.140,1316.864,69,223.300
2026-05-26T18:02:11.860981,1779840131.861,25.380,1884.160,68,224.200
2026-05-26T18:02:19.907763,1779840139.908,29.950,1902.592,78,224.300
2026-05-26T18:02:27.972159,1779840147.972,30.240,2314.240,79,225.200
2026-05-26T18:02:36.010976,1779840156.011,28.830,1137.664,79,225.700
2026-05-26T18:02:44.059539,1779840164.060,29.200,1546.240,79,226.700
2026-05-26T18:02:52.913070,1779840172.913,30.160,1662.976,79,227.000
2026-05-26T18:03:01.878277,1779840181.878,29.520,2113.536,78,227.600
2026-05-26T18:03:09.923059,1779840189.923,24.000,2591.744,77,228.500
2026-05-26T18:03:17.968550,1779840197.969,23.390,1329.152,78,229.100
2026-05-26T18:03:26.013889,1779840206.014,23.490,1777.664,77,229.600
2026-05-26T18:03:34.055301,1779840214.055,23.400,2228.224,78,230.300
2026-05-26T18:03:42.859886,1779840222.860,28.670,1132.544,78,231.100
2026-05-26T18:03:51.857879,1779840231.858,24.070,1559.552,76,231.800
2026-05-26T18:03:59.909210,1779840239.909,23.780,1967.104,76,231.900
2026-05-26T18:04:07.952083,1779840247.952,22.410,2360.320,68,232.600
2026-05-26T18:04:15.999084,1779840255.999,22.790,1319.936,71,232.700
2026-05-26T18:04:24.034392,1779840264.034,23.040,1730.560,68,232.800
2026-05-26T18:04:32.858082,1779840272.858,22.540,2167.808,68,233.800
2026-05-26T18:04:41.869219,1779840281.869,23.730,1096.704,68,233.900
2026-05-26T18:04:49.915087,1779840289.915,22.150,1499.136,68,234.600
2026-05-26T18:04:57.966687,1779840297.967,22.300,1898.496,68,234.700
2026-05-26T18:05:06.010899,1779840306.011,21.190,2304.000,71,234.900
2026-05-26T18:05:14.055558,1779840314.056,23.360,1189.888,71,234.900
2026-05-26T18:05:22.857982,1779840322.858,112.450,2072.576,80,235.900
2026-05-26T18:05:31.887210,1779840331.887,25.580,2022.400,78,236.400
2026-05-26T18:05:39.928018,1779840339.928,22.700,2409.472,79,236.600
2026-05-26T18:05:48.560887,1779840348.561,21.540,1154.048,78,236.800
2026-05-26T18:05:57.580329,1779840357.580,24.210,1583.104,79,237.100
2026-05-26T18:06:05.617541,1779840365.618,26.870,1955.840,78,237.100
2026-05-26T18:06:13.945436,1779840373.945,23.380,2327.552,79,237.900
2026-05-26T18:06:22.896063,1779840382.896,21.960,1337.344,76,237.900
2026-05-26T18:06:31.894098,1779840391.894,20.640,1764.352,76,238.300
2026-05-26T18:06:39.949120,1779840399.949,21.410,2143.232,77,238.400
2026-05-26T18:06:48.587623,1779840408.588,20.770,1189.888,77,238.500
2026-05-26T18:06:57.597056,1779840417.597,20.220,1627.136,76,239.000
2026-05-26T18:07:05.641929,1779840425.642,20.500,2013.184,74,239.000
2026-05-26T18:07:13.953423,1779840433.953,21.170,2400.256,74,239.300
2026-05-26T18:07:22.912039,1779840442.912,20.160,1375.232,74,240.200
2026-05-26T18:07:31.910746,1779840451.911,19.540,1785.856,74,239.600
2026-05-26T18:07:39.959643,1779840459.960,20.250,2152.448,74,239.800
2026-05-26T18:07:48.590107,1779840468.590,20.230,1160.192,75,240.100
2026-05-26T18:07:57.613816,1779840477.614,204.400,2772.992,80,240.300
2026-05-26T18:08:05.653952,1779840485.654,20.690,2080.768,78,240.600
