timestamp_iso,unix_ts,cpu_pct,mem_mb,pids
2026-05-25T23:01:22.719675,1779771682.720,0.000,234.600,11
2026-05-25T23:01:28.755178,1779771688.755,0.000,234.600,11
2026-05-25T23:01:34.789926,1779771694.790,28.470,256.800,20
2026-05-25T23:01:41.728823,1779771701.729,25.590,278.900,19
2026-05-25T23:01:47.768850,1779771707.769,26.770,296.200,19
2026-05-25T23:01:53.808242,1779771713.808,28.330,327.200,19
2026-05-25T23:02:00.757167,1779771720.757,25.150,350.600,19
2026-05-25T23:02:06.806745,1779771726.807,24.860,374.200,19
2026-05-25T23:02:13.756763,1779771733.757,25.340,414.300,19
2026-05-25T23:02:20.739906,1779771740.740,24.110,438.400,19
2026-05-25T23:02:26.778353,1779771746.778,25.650,458.600,19
2026-05-25T23:02:33.753198,1779771753.753,24.850,482.000,19
2026-05-25T23:02:39.810417,1779771759.810,131.580,573.300,222
2026-05-25T23:02:45.852786,1779771765.853,40.610,674.800,229
2026-05-25T23:02:52.886507,1779771772.887,34.070,667.000,19
2026-05-25T23:02:58.927116,1779771778.927,32.010,666.900,19
2026-05-25T23:03:04.970380,1779771784.970,30.380,667.700,19
2026-05-25T23:03:11.997570,1779771791.998,73.390,570.300,20
2026-05-25T23:03:18.041732,1779771798.042,75.630,570.900,20
2026-05-25T23:03:24.080016,1779771804.080,81.300,571.100,20
2026-05-25T23:03:30.763800,1779771810.764,79.950,572.100,20
2026-05-25T23:03:36.807047,1779771816.807,80.840,572.300,20
2026-05-25T23:03:43.802269,1779771823.802,83.730,572.500,20
2026-05-25T23:03:50.804006,1779771830.804,80.130,580.800,27
2026-05-25T23:03:56.845265,1779771836.845,31.540,606.100,27
2026-05-25T23:04:03.796013,1779771843.796,85.190,608.300,27
2026-05-25T23:04:10.794997,1779771850.795,29.300,630.400,27
2026-05-25T23:04:16.832237,1779771856.832,90.160,613.300,27
2026-05-25T23:04:23.872294,1779771863.872,84.310,613.300,27
2026-05-25T23:04:30.787311,1779771870.787,83.560,613.100,27
2026-05-25T23:04:36.820592,1779771876.821,82.080,613.700,27
2026-05-25T23:04:42.868246,1779771882.868,80.560,613.900,27
2026-05-25T23:04:48.909780,1779771888.910,91.200,614.000,27
2026-05-25T23:04:54.948988,1779771894.949,84.930,614.400,27
2026-05-25T23:05:01.986596,1779771901.987,84.560,614.500,27
2026-05-25T23:05:08.030036,1779771908.030,90.590,614.000,27
2026-05-25T23:05:14.069965,1779771914.070,91.300,614.900,27
2026-05-25T23:05:20.842573,1779771920.843,81.800,615.100,27
2026-05-25T23:05:26.881577,1779771926.882,92.090,616.000,27
2026-05-25T23:05:33.842524,1779771933.843,87.280,615.600,27
2026-05-25T23:05:40.832304,1779771940.832,82.430,615.200,27
2026-05-25T23:05:46.876746,1779771946.877,89.640,615.700,27
2026-05-25T23:05:53.835775,1779771953.836,81.800,616.200,27
2026-05-25T23:06:00.825899,1779771960.826,81.750,616.300,27
2026-05-25T23:06:06.867089,1779771966.867,84.180,616.400,27
2026-05-25T23:06:13.875911,1779771973.876,87.190,616.900,27
2026-05-25T23:06:20.825999,1779771980.826,90.330,617.400,27
2026-05-25T23:06:26.864894,1779771986.865,91.580,616.900,27
2026-05-25T23:06:33.857885,1779771993.858,91.060,617.000,27
2026-05-25T23:06:40.855286,1779772000.855,80.210,617.300,27
2026-05-25T23:06:46.893392,1779772006.893,82.250,617.000,27
2026-05-25T23:06:53.854235,1779772013.854,91.020,618.300,27
2026-05-25T23:07:00.842751,1779772020.843,13.600,622.900,27
2026-05-25T23:07:06.883960,1779772026.884,88.920,637.000,27
2026-05-25T23:07:13.878483,1779772033.878,102.530,638.200,27
2026-05-25T23:07:20.868595,1779772040.869,92.240,637.600,27
