timestamp_iso,unix_ts,cpu_pct,mem_mb,pids
2026-05-25T18:38:01.392517,1779755881.393,2.360,239.200,43
2026-05-25T18:38:08.379239,1779755888.379,0.670,238.800,43
2026-05-25T18:38:14.413262,1779755894.413,80.000,247.900,44
2026-05-25T18:38:20.461419,1779755900.461,14.810,250.500,44
2026-05-25T18:38:26.505419,1779755906.505,82.100,257.000,44
2026-05-25T18:38:32.544126,1779755912.544,86.400,257.600,44
2026-05-25T18:38:39.349388,1779755919.349,87.690,262.000,44
2026-05-25T18:38:45.385836,1779755925.386,93.440,269.400,47
2026-05-25T18:38:51.424641,1779755931.425,89.010,266.600,47
2026-05-25T18:38:58.350109,1779755938.350,91.600,266.500,47
2026-05-25T18:39:04.389459,1779755944.389,89.300,266.500,46
2026-05-25T18:39:10.428322,1779755950.428,91.190,269.400,43
2026-05-25T18:39:16.466132,1779755956.466,89.460,257.800,45
2026-05-25T18:39:22.504681,1779755962.505,92.950,258.500,45
2026-05-25T18:39:29.347541,1779755969.348,88.070,258.300,45
2026-05-25T18:39:35.376563,1779755975.377,93.050,258.600,44
2026-05-25T18:39:41.415974,1779755981.416,94.480,258.500,43
2026-05-25T18:39:48.356145,1779755988.356,91.930,259.000,43
2026-05-25T18:39:54.389139,1779755994.389,92.710,258.800,44
2026-05-25T18:40:00.427742,1779756000.428,94.710,258.700,44
2026-05-25T18:40:06.465872,1779756006.466,92.390,259.400,43
2026-05-25T18:40:12.505663,1779756012.506,94.480,258.900,43
2026-05-25T18:40:19.365589,1779756019.366,94.440,259.700,43
2026-05-25T18:40:25.402998,1779756025.403,82.060,267.700,44
2026-05-25T18:40:31.439546,1779756031.440,81.880,263.100,44
2026-05-25T18:40:38.353175,1779756038.353,81.650,264.200,44
2026-05-25T18:40:44.397065,1779756044.397,83.260,267.100,43
2026-05-25T18:40:50.451462,1779756050.451,83.080,275.000,44
2026-05-25T18:40:56.488865,1779756056.489,83.490,278.100,45
2026-05-25T18:41:02.528720,1779756062.529,89.410,283.700,46
2026-05-25T18:41:09.409863,1779756069.410,85.130,291.300,46
2026-05-25T18:41:15.444789,1779756075.445,85.290,295.800,45
2026-05-25T18:41:21.485669,1779756081.486,80.270,299.800,44
2026-05-25T18:41:28.395291,1779756088.395,101.750,308.400,45
2026-05-25T18:41:34.439279,1779756094.439,159.050,341.100,47
2026-05-25T18:41:40.476988,1779756100.477,97.890,364.200,47
2026-05-25T18:41:46.516426,1779756106.516,92.620,370.100,50
2026-05-25T18:41:52.546576,1779756112.547,92.170,379.200,50
2026-05-25T18:41:59.385737,1779756119.386,92.110,403.600,51
2026-05-25T18:42:05.424657,1779756125.425,90.380,428.100,50
2026-05-25T18:42:11.466557,1779756131.467,90.990,406.900,50
2026-05-25T18:42:18.423128,1779756138.423,92.470,405.900,50
2026-05-25T18:42:24.469627,1779756144.470,97.190,396.500,51
2026-05-25T18:42:30.504509,1779756150.505,89.070,409.600,51
2026-05-25T18:42:36.543876,1779756156.544,92.310,433.000,51
2026-05-25T18:42:42.583162,1779756162.583,92.360,418.900,52
2026-05-25T18:42:49.467127,1779756169.467,90.000,414.200,51
2026-05-25T18:42:55.507029,1779756175.507,89.330,413.600,50
2026-05-25T18:43:01.544286,1779756181.544,87.740,414.900,51
2026-05-25T18:43:08.397063,1779756188.397,89.850,428.400,50
2026-05-25T18:43:14.438334,1779756194.438,91.950,422.300,52
2026-05-25T18:43:20.479720,1779756200.480,89.150,426.300,52
2026-05-25T18:43:26.519543,1779756206.520,85.860,415.200,48
2026-05-25T18:43:32.551121,1779756212.551,88.360,418.500,48
2026-05-25T18:43:39.424615,1779756219.425,89.280,423.500,47
2026-05-25T18:43:45.463142,1779756225.463,89.870,445.300,46
2026-05-25T18:43:51.504950,1779756231.505,90.120,422.600,48
2026-05-25T18:43:58.412848,1779756238.413,89.980,417.000,47
2026-05-25T18:44:04.445304,1779756244.445,90.390,416.800,48
2026-05-25T18:44:10.488679,1779756250.489,85.800,417.100,47
2026-05-25T18:44:16.526682,1779756256.527,86.100,435.000,46
2026-05-25T18:44:22.566321,1779756262.566,87.420,426.100,47
2026-05-25T18:44:29.425830,1779756269.426,94.680,417.500,48
2026-05-25T18:44:35.465654,1779756275.466,87.270,418.100,48
2026-05-25T18:44:41.505086,1779756281.505,89.380,418.500,47
2026-05-25T18:44:48.461425,1779756288.461,88.970,426.800,48
2026-05-25T18:44:54.500806,1779756294.501,89.410,446.200,47
2026-05-25T18:45:00.544322,1779756300.544,90.390,433.400,48
2026-05-25T18:45:06.582970,1779756306.583,86.930,427.200,48
2026-05-25T18:45:12.625158,1779756312.625,90.140,427.700,49
2026-05-25T18:45:19.451346,1779756319.451,85.270,428.700,48
2026-05-25T18:45:25.496972,1779756325.497,87.530,438.300,46
2026-05-25T18:45:31.542682,1779756331.543,85.210,442.000,47
2026-05-25T18:45:38.497365,1779756338.497,0.650,442.800,48
2026-05-25T18:45:44.564450,1779756344.564,6.740,443.000,48
2026-05-25T18:45:50.630619,1779756350.631,0.800,442.700,46
2026-05-25T18:45:56.690595,1779756356.691,1.150,442.300,42
2026-05-25T18:46:02.767454,1779756362.767,3.890,442.500,43
2026-05-25T18:46:09.509834,1779756369.510,0.540,442.500,42
2026-05-25T18:46:15.579353,1779756375.579,0.720,448.400,49
2026-05-25T18:46:21.643614,1779756381.644,0.910,443.700,48
2026-05-25T18:46:28.542857,1779756388.543,4.350,442.800,49
2026-05-25T18:46:34.614777,1779756394.615,0.700,442.200,49
2026-05-25T18:46:40.689041,1779756400.689,0.680,442.100,48
2026-05-25T18:46:46.744749,1779756406.745,4.550,443.200,48
2026-05-25T18:46:52.818614,1779756412.819,3.260,443.900,49
2026-05-25T18:46:59.517379,1779756419.517,0.580,442.900,48
2026-05-25T18:47:05.576213,1779756425.576,0.770,443.000,49
2026-05-25T18:47:11.641700,1779756431.642,0.830,442.600,42
2026-05-25T18:47:18.595201,1779756438.595,0.770,442.600,42
2026-05-25T18:47:24.682011,1779756444.682,0.630,442.500,41
2026-05-25T18:47:30.740044,1779756450.740,0.620,442.700,42
2026-05-25T18:47:36.799571,1779756456.800,0.570,442.500,42
2026-05-25T18:47:42.849083,1779756462.849,0.650,442.500,42
2026-05-25T18:47:49.569651,1779756469.570,0.770,442.500,42
2026-05-25T18:47:55.630880,1779756475.631,0.830,442.500,42
2026-05-25T18:48:01.690387,1779756481.690,0.730,430.900,44
2026-05-25T18:48:08.544542,1779756488.545,0.590,430.200,43
2026-05-25T18:48:14.607578,1779756494.608,0.740,430.400,43
2026-05-25T18:48:20.661787,1779756500.662,0.820,430.100,42
2026-05-25T18:48:26.712037,1779756506.712,0.840,430.400,43
2026-05-25T18:48:32.780069,1779756512.780,3.030,430.200,43
2026-05-25T18:48:39.599451,1779756519.599,0.600,430.000,42
2026-05-25T18:48:45.668255,1779756525.668,0.730,430.000,42
2026-05-25T18:48:51.731900,1779756531.732,0.680,430.000,42
2026-05-25T18:48:58.564438,1779756538.564,1.660,430.800,44
